image_id,text
521669,Someone is holding a phone while watching a video on it.
116361,so many people using laptops at a meeting
118113,this is a very dark picture of a room with a shelf
440094,A wooden bed with a brown dog sleeping on top of it.
313428,a bed sits under neath a glass fish tank 
503200,A shower has a removable shower head and a glass door.
126065,The two figurines and bells are under the clock.
47010,A pond of water with three giraffe walking in the dirt.
134722,Fast commuter train moving past an outdoor platform.
527086,The police officers are sitting together and eating food.
233638,A laptop and a cell phone on a table.
145544,A black dog in a bathroom drinking out of the toilet.
368193,Three people on horse back at a rural road intersection.
68852,An old car in a parking lot with a surfboard strapped to the top
313130,a silver fridge sits in a room next to a microwave 
308856,tree is a female tennis player that is playing on the court 
429582,A baby next to a stuffed bear of some sort.
106912,A young boy riding a skateboard across a parking lot.
197125,A desk with computers and monitors and books.
52290,A black and white cat sniffs a laptop computer.
304240,A red traffic light at a street side.
351127,people on a lake holding onto parachutes as they surf the water
60179,A man on skies with a parachute attempting to ski with it.
114770,"A green military jeep, and motorcycle on display."
127668,A large truck drives up to an airplane.
196594,Three clocks are displaying times from different time zones.
248051,A man riding a skateboard on top of a sidewalk.
135486,A man fixes a kite as he stands with his friend on the beach.
474039,A baby sitting in between to large stuffed animals.
553162,Brown bear walking on a path in the woods.
451533,A left hand golding a Samsung flip phone from Sprint
201418,A young man standing in front of a luggage carousel at an airport.
167510,A stop sign at the intersection of Lyndon Ave and South.
487685,A group of people standing on floor mats at an event.
227590,The passenger train is painted brown and white. 
467578,A box of donuts with a coffee in front of it.
379476,A long tunnel with a long table with lots of seats and candles next to wine glasses.
35206,a tennis player crouching down near the net
173208,A plate of food has some sesame seed bagels.
416059,Two people walk through the snow behind a dog.
350278,A zebra standing on top of a dirt field.
277831,A glass of alcohol next to an open laptop computer.
146742,A beautiful young lady laying on top of a park bench.
570579,A baby boy sits in a high chair next to a green and white cake.
117988,A woman wearing red top and black skirt holding umbrella
151005,a wooden bench with some yellow and green leaves 
143224,An airplane on the tarmac and the glass passageway leading to its door
294853,"A man in a red cap, green shirt and white shorts holds a tennis racket under his arm."
323552,A young girl with glasses appears to be waiting with luggage at the baggage center.
185181,A giraffe on display in a glass enclosure.
43850,A man standing over his dog on a beach while holding a surfboard next to the ocean.
351369,A landing jet airplane kicking up spray on a wet runway.
558661,A woman that is standing in the grass with a frisbee.
119516,A beautiful woman standing on the side of a rad next to a street.
89790,A man in a parking lot talking to the driver of an army green pickup truck.
310998,A man on a snowboard that is in the snow.
477698,A herd of zebra standing on sandy area with rocks.
375317,A black stove top oven sitting next to a window.
169539,A man standing up against a wall with his hands clasped together.
141887,A woman riding a surfboard on a wave in the ocean.
466263,A silver fire hydrant by a manmade path and lake
203878,a tennis player wearing red and white swinging at the ball
487534,Two zebras nuzzle together in a wooded area. 
204611,Several airplanes sitting on the tarmac being unloaded.
411564,A man sitting in a window ledge with a cell phone in his hand.
149890,A giraffe and two zebras are standing in the grass.
170651,A pair of trains parked at a station.
201928,A counter topped with containers of foods and a roll.
311206,A statue of a bear in an enclosure.
480951,Cars and traffic signals light up the streets at night around a busy intersection.
270474,A little girl holding a baseball bat on grass.
581402,A calico cat curls up inside a bowl to sleep.
458137,A dining room table surrounded by wooden chairs.
193424,A view of a traffic street filled with cars and motorcycles. 
487551,A red stop sign sitting next to a green street sign.
294162,A laptop computer sits on a black surface next to a wireless mouse.
383533,A man and woman dragging surf boards through the water
192168,A man wearing a coat standing in a field using his smart phone.
416968,a red and white sign and a tree water and a building
474881,Horned mountain goats enjoying green grass next to the snow
479078,A brown horse being jumped over a fence rail in a competition.
38438,a close up of a cat on a rug on the ground
281598,A kitten peeking out from behind a tablecloth on a chair.
568846,A man giving a little boy a hair cut.
176362,A baseball player taking a swing at a ball
14781,A news paper sitting on a floor next to a toilet.
441147,Two antique suitcases sit stacked one on top of the other.
518255,a bony horse bending down to look at a duck
28998,A kid in a field with a muffin.
9478,A giraffe standing in a field of grass.
330140,A round picture of a train station with a tall building across the street.
74603,There are people who are getting their food.
300962,a baseball player swinging a bat at a ball
254379,A person holding a remote in their hand.
104751,A man taking a selfie in front of a mirror.
282037,A baseball player pitching a ball on top of a field.
3690,"An individual pizza with cheese, pineapple and sauce."
459809,A shot of the blue water with people flying a kite. 
189376,a room filled desks and computers a man and woman sitting listening and anther man with a camera
6040,A blue and white train is moving on the rails. 
45367,A woman in red pajamas is hugging a cute dog.
262161,Large motorcycle sitting on a grassy area in a line.
143927,A ceramic coffee cup inside of a silver microwave oven.
507427,a man sitting on a surf board in the water
243775,A clock on side of building with skyline in background.
256787,A dog wearing a tuxedo sitting at a table witha piece of cake with a lit candle.
431693,there is a male tennis player trying to hit the ball
315565,Two aging gentlemen of religious persuasion smile kindly.  
34500,A tennis player is on a blue and green court.
297520,"Hot dogs, buns and croissants on a BBQ grill "
279407,A young child holding a baseball in their right hand.
386134,a close up of a foam box of food 
6417,A surfer curls to balance on his board atop the foamy white crest of a wave
573033,A wooden bench that is overlooking a body of water.
573770,Two people skiing down a snow covered hillside.
210050,A red car traveling down a road under construction.
432906,A cat sitting on top of a laptop computer.
417265,a building sits in front of a parking meter 
554348,a woman is standing on a set of train tracks
68300,A plate of spaghetti with red sauce and broccoli. 
298372,a white and green plane is in the sky
169045,A golden plate topped with strawberries covered in sauce.
84241,A group of women in kitchen next to pot.
92081,The bike appears to be chained to the railing.
237558,This aerial shot shows a person crossing the street with an umbrella over their head.
109612,A hand holding a piece of cake with a bite out of it in front of a black and white cat.
426172,a display of items for sale on a shelf
334309,A man takes a picture of himself eating food.
227884,A pianist in a suit and glasses playing a keyboard.
425573,A big zebra and a small zebra are standing in a grassy field. 
135158,A cat laying on a couch with a remote.
341775,A single elephant that is walking in an enclosure.
350975,THREE BLUE UTILITY SINKS AND TWO WHITE REGULAR SINKS
161397,Several displays of flowers are on a table.
419774,A pitcher throws the ball towards the batter while other players watch.
164,A small kitchen with low a ceiling 
216235,Couple of cows outside eating at the grass
313240,"a desk with a computer, books, paperwork and shelves with DVDs "
554114,A woman kneeling down in front  of a parking meter.
55241,The cows are standing on the hay in a meadow. 
572790,"Avery long hot dog with ketchup, mustard and onions."
574415,Two an a half donuts on white plates.
10694,A cat stares from behind a large TV.
